ScientificName,ScientificNamePopID,Family,CommonName,SerenaOrSarah,TeleostOrElasmo,MROriginLocation,RawMetabolicRate,MRRawDataOrMean,SampleSize,RawMetabolicRateUnits,RawMetabolicRateCitation,BodyMass,MassRawDataOrMean,BodyMassUnits,Temperature,TemperatureUnits,FactorialAerobicScope,binTemp
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,15.9866,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.92,Raw,kg,9,ËšC,1.440972918,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,30.5682,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.02,Raw,kg,9,ËšC,2.744175895,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,17.9794656,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",3.03,Raw,kg,9,ËšC,2.182915114,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,19.2959,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.19,Raw,kg,13,ËšC,1.624859741,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,30.82393,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.9,Raw,kg,13,ËšC,1.906514722,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,10.03341,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",2.35,Raw,kg,13,ËšC,1.290648247,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,22.00645,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.62,Raw,kg,13,ËšC,1.965236664,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,12.3888,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.47,Raw,kg,13,ËšC,1.405971605,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,25.6513056,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",1.79,Raw,kg,13,ËšC,1.825797771,NA
Amblyraja radiata,Amblyraja radiata,Rajidae,Thorny skate,Sarah,Elasmo,Gulf of Maine,35.02538,Raw,1,mg O2 kg^-1 h^-1,"Schwieterman, G. D., Crear, D. P., Anderson, B. N., Lavoie, D. R., Sulikowski, J. A., Bushnell, P. G., & Brill, R. W. (2019). Combined effects of acute temperature change and elevated p CO2 on the metabolic rates and hypoxia tolerances of clearnose skate (Rostaraja eglanteria), summer flounder (Paralichthys dentatus), and thorny skate (Amblyraja radiata).ÊBiology,Ê8(3), 56.",0.6,Raw,kg,13,ËšC,1.741146595,NA
